title,url,domain,seendate,category,is_market_relevant,relevance_score,matched_keywords,mentioned_stocks,num_stocks,sentiment_score,sentiment_label,market_impact
"OJK catat piutang pembiayaan syariah Rp31 , 05 triliun di Januari 2026",https://www.antaranews.com/berita/5461279/ojk-catat-piutang-pembiayaan-syariah-rp3105-triliun-di-januari-2026,antaranews.com,20260308T134500Z,Finance,False,0.0,,,0,0.0,neutral,low
Rencana Buyback Saham BBNI Dinilai Bisa Perkuat Kepercayaan Investor,https://money.kompas.com/read/2026/03/08/201500126/rencana-buyback-saham-bbni-dinilai-bisa-perkuat-kepercayaan-investor,money.kompas.com,20260308T134500Z,Finance,True,0.051,"investor, buyback",,0,0.0,neutral,low
"With Two Young Kids , They Thought A Bigger Home Was The Answer . Now Their 3K Square Foot House Feels Like A Mistake . Downsize Again Or  Suck It Up ? ",https://www.yahoo.com/lifestyle/articles/two-young-kids-thought-bigger-123020955.html,yahoo.com,20260308T131500Z,Finance,False,0.0,,GE,1,-0.4215,negative,low
"Natixis Advisors LLC Acquires 2 , 607 , 367 Shares of HDFC Bank Limited $HDB",https://www.tickerreport.com/banking-finance/13371759/natixis-advisors-llc-acquires-2607367-shares-of-hdfc-bank-limited-hdb.html,tickerreport.com,20260308T130000Z,Finance,False,0.026,shares,,0,0.0772,positive,low
Exyte : Schlüsselrolle für Halbleiter ( Finanztrends ) ,https://boerse-social.com/2026/03/08/exyte_schlasselrolle_far_halbleiter_finanztrends,boerse-social.com,20260308T130000Z,Finance,False,0.0,,,0,0.0,neutral,low
É portuguesa e lidera um dos cargos mais altos da Bolsa do Luxemburgo,https://www.contacto.lu/reportagem/e-portuguesa-e-lidera-um-dos-cargos-mais-altos-da-bolsa-do-luxemburgo/138772568.html,contacto.lu,20260308T114500Z,Finance,False,0.0,,,0,0.0,neutral,low
"STRAH SE UVUKAO MEĐU GRAĐANE : Ako vlada ne interveniše , od utorka nastupa pakao sa cijenom goriva ... ",https://www.slobodna-bosna.ba/vijest/471031/strah_se_uvukao_medju_gradjane_ako_vlada_ne_intervenise_od_utorka_nastupa_pakao_sa_cijenom_goriva.html,slobodna-bosna.ba,20260308T113000Z,Finance,False,0.0,,,0,0.0,neutral,low
Carlo Nesti :  Juve : Pablito Yildiz può fare il centravanti ! ,https://www.tuttomercatoweb.com/la-scheda-di-carlo-nesti/carlo-nesti-juve-pablito-yildiz-puo-fare-il-centravanti-1990159,tuttomercatoweb.com,20260308T113000Z,Finance,False,0.0,,,0,0.0,neutral,low
"Ženy majú na investovanie talent , no stále ho nevyužívajú . Čo ich brzdí ? ",https://spravy.pozri.sk/clanok/zeny-maju-na-investovanie-talent-no-stale-ho-nevyuzivaju-co-ich-brzdi/1606182,spravy.pozri.sk,20260308T111500Z,Finance,False,0.0,,TSLA,1,0.1531,positive,low
Stop alle partite Iva apri e chiudi : il nuovo piano 2026,https://www.laleggepertutti.it/784043_stop-alle-partite-iva-apri-e-chiudi-il-nuovo-piano-2026,laleggepertutti.it,20260308T111500Z,Finance,False,0.0,,,0,-0.296,negative,low
"SI VOULEZ DEBATTRE SUR LE DEBAT , CEST ICI ! ",https://latelelibre.fr/2007/05/les-themes-du-debat-televise-du-2-mai/,latelelibre.fr,20260308T111500Z,Finance,False,0.0,,,0,0.0,neutral,low
Analyzing National Australia Bank ( OTCMKTS : NABZY ) and Western New England Bancorp ( NASDAQ : WNEB ) ,https://www.themarketsdaily.com/2026/03/08/analyzing-national-australia-bank-otcmktsnabzy-and-western-new-england-bancorp-nasdaqwneb.html,themarketsdaily.com,20260308T110000Z,Finance,False,0.0,,,0,0.0,neutral,low
Lin Horn Aktie : Sektor - Dynamik entscheidend ( Finanztrends ) ,https://boerse-social.com/2026/03/08/lin_horn_aktie_sektor-dynamik_entscheidend_finanztrends,boerse-social.com,20260308T110000Z,Finance,False,0.0,,,0,0.0,neutral,low
Quand Téhéran attaque son banquier,https://mondafrique.com/libre-opinion/quand-teheran-attaque-son-banquier/,mondafrique.com,20260308T110000Z,Finance,False,0.0,,,0,0.0,neutral,low
Yatırımcının savaş stratejisi ne olmalı ? - Türkiyenin bir numaralı finans ve ekonomi portalı uzmanpara . com . ,https://uzmanpara.milliyet.com.tr/haber-detay/yazarlar/yatirimcinin-savas-stratejisi-ne-olmali/242012/,uzmanpara.milliyet.com.tr,20260308T104500Z,Finance,False,0.0,,,0,0.0,neutral,low
The EU needs a huge shake - up - The Malta Independent,https://www.independent.com.mt/articles/2026-03-08/blogs-opinions/The-EU-needs-a-huge-shake-up-6736287729,independent.com.mt,20260308T104500Z,Finance,False,0.0,,GE,1,0.1531,positive,low
Lukić : Države za ublažavanje energetskih šokova mogu koristiti strateške rezerve nafte,https://www.blic.rs/biznis/vesti/lukic-drzave-za-ublazavanje-energetskih-sokova-mogu-koristiti-strateske-rezerve-nafte/xzl03m9,blic.rs,20260308T104500Z,Finance,False,0.0,,GE,1,0.0,neutral,low
"Iran , Pichetto :  E  ancora presto per pensare di cambiare il decreto Bollette  ",https://www.agenzianova.com/news/iran-pichetto-e-ancora-presto-per-pensare-di-cambiare-il-decreto-bollette/,agenzianova.com,20260308T104500Z,Finance,False,0.0,,,0,0.0,neutral,low
Buyback Saham BNI Dinilai Dongkrak Kepercayaan Publik,https://ekonomi.republika.co.id/berita/tbksb1522/buyback-saham-bni-dinilai-dongkrak-kepercayaan-publik,ekonomi.republika.co.id,20260308T104500Z,Finance,False,0.026,buyback,,0,0.0,neutral,low
Mulheres empreendedoras : conheça histórias de quem começou do zero,https://g1.globo.com/go/goias/noticia/2026/03/08/dia-da-mulher-conheca-historias-de-mulheres-empreendedoras-que-comecaram-do-zero.ghtml,g1.globo.com,20260308T104500Z,Finance,False,0.0,,,0,0.0,neutral,low
"BrindisiSera . it - Attualità , Brindisi , successo per la prima edizione della BTE Puglia : oltre 900 incontri B2B e operatori da tutta Italia e dallestero",https://www.brindisisera.it/dettaglio.asp?id_dett=61787&id_rub=58,brindisisera.it,20260308T103000Z,Finance,False,0.0,,,0,0.0,neutral,low
"Tesla , scendono le vendite ma lazione vola : in arrivo in rivoluzionario Cybercab a guida autonoma",https://www.quotidianodipuglia.it/blog/milleruote/tesla_scendono_le_vendite_ma_l_azione_vola_in_arrivo_in_rivoluzionario_cybercab_a_guida_autonoma-9397618.html,quotidianodipuglia.it,20260308T103000Z,Finance,False,0.0,,TSLA,1,0.0,neutral,low
Pakistan women are entering stock market but is the system ready ? ,https://www.geo.tv/latest/654629-pakistans-women-are-entering-stock-market-but-is-the-system-ready,geo.tv,20260308T103000Z,Finance,True,0.051,"stock, market",,0,0.5023,positive,low
"Assured Guaranty ( NYSE : AGO ) Director Sells $106 , 223 . 66 in Stock",https://www.tickerreport.com/banking-finance/13371445/assured-guaranty-nyseago-director-sells-106223-66-in-stock.html,tickerreport.com,20260308T103000Z,Finance,False,0.026,stock,,0,0.3612,positive,low
